"instrument_token","tradingsymbol","name","exchange","segment","instrument_type","lot_size","tick_size","is_active","metadata","created_at","updated_at","market_cap","sector"
"2109441","BSLGOLINAV","BSLGOLDETF NAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:57.296082+00","2026-02-05 12:46:57.296091+00","0",NULL
"2109697","HDFCMFINAV","HDFCMFGETF NAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:57.423042+00","2026-02-05 12:46:57.423045+00","0",NULL
"2114049","SETFGOINAV","SETFGOLD NAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:58.143843+00","2026-02-05 12:46:58.143853+00","0",NULL
"2153729","MIDCAPETF","MIRAEAMC - MAM150ETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:46:59.327622+00","2026-02-05 12:46:59.327628+00","0",NULL
"2177537","MID150BEES","NIP IND ETF MIDCAP 150","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:00.326106+00","2026-02-05 12:47:00.326112+00","0",NULL
"2273793","TNIDETF","TATAAML - TNIDETF","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:04.91852+00","2026-02-05 12:47:04.91853+00","0",NULL
"2520833","NV20BEES","NIP IND ETF ETF NV20","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:15.569542+00","2026-02-05 12:47:15.569551+00","0",NULL
"2550785","ABSLBAINAV","ABSLBANETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:17.493337+00","2026-02-05 12:47:17.493346+00","0",NULL
"2552577","BSLSENINAV","BSLSENETFG INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:17.765558+00","2026-02-05 12:47:17.765567+00","0",NULL
"2553345","AXISHCINAV","AXISHCETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:18.268411+00","2026-02-05 12:47:18.268421+00","0",NULL
"2556417","AXISBPINAV","AXISBPSETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:18.416033+00","2026-02-05 12:47:18.416042+00","0",NULL
"2556673","AXISBNINAV","AXISBNKETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:18.573174+00","2026-02-05 12:47:18.573183+00","0",NULL
"2556929","AXISCEINAV","AXISCETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:18.753422+00","2026-02-05 12:47:18.753433+00","0",NULL
"2558977","AXISTEINAV","AXISTECETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:19.115037+00","2026-02-05 12:47:19.115046+00","0",NULL
"2559233","DSPNEWINAV","DSPNEWETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:19.293558+00","2026-02-05 12:47:19.29357+00","0",NULL
"2561025","DSPN50INAV","DSPN50ETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:19.473141+00","2026-02-05 12:47:19.473147+00","0",NULL
"2561281","DSPQ50INAV","DSPQ50ETF INAV","NSE","NSE","EQ",1,"0.01000000",True,NULL,"2026-02-05 12:47:19.611711+00","2026-02-05 12:47:19.61173+00","0",NULL
